Date,Open,High,Low,Close,Volume,Adj Close
1991-06-03,13.375,13.375,12.625,12.625,4800,157.812496
1991-05-31,13.625,13.625,13.125,13.50,13800,168.749996
1991-05-30,12.125,13.625,12.125,13.125,17900,164.062496
1991-05-29,12.125,12.625,12.00,12.125,19400,151.562497
1991-05-28,13.25,13.375,11.75,12.25,31600,153.124997
1991-05-24,13.50,13.50,12.75,13.125,13000,164.062496
1991-05-23,13.875,13.875,13.00,13.25,8000,165.624996
1991-05-22,14.125,14.125,13.625,13.625,4300,170.312496
1991-05-21,14.00,14.375,13.875,14.00,14000,174.999996
1991-05-20,13.875,14.00,13.875,14.00,7900,174.999996
1991-05-17,13.875,13.875,13.50,13.75,6500,171.874996
1991-05-16,13.75,14.00,13.50,13.625,6300,170.312496
1991-05-15,13.625,13.875,13.375,13.50,5100,168.749996
1991-05-14,14.625,14.625,13.625,13.875,9000,173.437496
1991-05-13,14.75,15.00,14.50,14.50,13900,181.249996
1991-05-10,14.875,15.50,14.75,15.125,21500,189.062496
1991-05-09,14.25,15.00,14.25,14.875,19300,185.937496
1991-05-08,14.375,14.50,14.125,14.25,11100,178.124996
1991-05-07,14.375,14.625,14.125,14.375,11000,179.687496
1991-05-06,13.375,14.375,13.375,14.375,11500,179.687496
1991-05-03,13.00,13.625,13.00,13.625,6900,170.312496
1991-05-02,12.75,13.25,12.375,13.25,4500,165.624996
1991-05-01,11.875,12.75,11.625,12.75,9200,159.374996
1991-04-30,12.625,12.625,11.625,11.875,12000,148.437497
1991-04-29,13.125,13.125,12.50,12.75,6000,159.374996
1991-04-26,12.25,13.25,12.25,13.125,18700,164.062496
1991-04-25,13.50,13.50,12.25,12.375,15500,154.687497
1991-04-24,13.50,13.625,13.25,13.50,5400,168.749996
1991-04-23,13.75,13.875,13.125,13.50,5300,168.749996
1991-04-22,13.50,13.875,13.25,13.50,6100,168.749996
1991-04-19,13.625,14.00,13.50,13.75,10500,171.874996
1991-04-18,14.125,14.125,13.75,13.875,5800,173.437496
1991-04-17,14.00,14.125,13.625,14.00,3300,174.999996
1991-04-16,14.125,14.125,13.625,13.875,6100,173.437496
1991-04-15,14.50,14.625,13.625,14.00,11600,174.999996
1991-04-12,13.875,14.75,13.75,14.375,31000,179.687496
1991-04-11,14.00,14.125,12.875,13.75,22700,171.874996
1991-04-10,13.75,14.625,13.625,14.25,49400,178.124996
1991-04-09,12.125,13.75,11.875,13.625,41700,170.312496
1991-04-08,10.75,12.25,10.50,12.00,40200,149.999997
1991-04-05,10.00,10.50,10.00,10.50,12600,131.249997
1991-04-04,10.25,10.375,9.875,10.00,6500,124.999997
1991-04-03,9.875,10.25,9.875,10.25,9900,128.124997
1991-04-02,10.00,10.125,9.75,10.125,6300,126.562497
1991-04-01,10.125,10.125,9.625,9.75,9100,121.874997
1991-03-28,10.00,10.25,9.875,10.125,5600,126.562497
1991-03-27,9.50,10.375,9.375,9.875,15200,123.437497
1991-03-26,10.25,10.25,9.00,9.25,13300,115.624997
1991-03-25,10.50,10.875,10.125,10.25,4400,128.124997
1991-03-22,10.00,10.50,9.75,10.375,11800,129.687497
1991-03-21,10.875,11.125,10.25,10.50,26200,131.249997
1991-03-20,9.125,10.50,9.125,10.375,32300,129.687497
1991-03-19,10.00,10.25,9.125,9.25,10600,115.624997
1991-03-18,19.75,19.75,19.25,19.375,5700,121.093747
1991-03-15,19.625,19.75,19.125,19.50,14900,121.874997
1991-03-14,19.50,19.50,19.00,19.25,11900,120.312497
1991-03-13,18.625,19.50,18.25,19.25,9800,120.312497
1991-03-12,19.25,19.50,18.625,18.625,8900,116.406247
1991-03-11,18.625,19.25,18.375,19.00,8000,118.749997
1991-03-08,19.00,19.375,18.75,18.75,16400,117.187497
1991-03-07,18.50,18.875,18.125,18.875,11800,117.968747
1991-03-06,19.375,19.625,18.125,18.50,15400,115.624997
1991-03-05,19.125,19.75,19.00,19.50,15400,121.874997
1991-03-04,17.00,18.875,16.875,18.875,19500,117.968747
1991-03-01,15.75,17.125,15.50,16.75,11200,104.687498
1991-02-28,15.375,16.00,15.25,16.00,8900,99.999998
1991-02-27,16.625,16.625,15.25,15.25,14200,95.312498
1991-02-26,16.875,17.125,15.75,16.125,32100,100.781248
1991-02-25,16.50,17.625,16.00,16.75,32400,104.687498
1991-02-22,18.125,18.375,17.25,18.125,14600,113.281247
1991-02-21,19.375,19.625,18.125,18.125,9000,113.281247
1991-02-20,19.125,19.50,18.625,18.75,5600,117.187497
1991-02-19,18.125,19.75,17.625,19.50,24700,121.874997
1991-02-15,20.00,20.625,17.00,18.25,69200,114.062497
1991-02-14,20.25,21.875,19.375,19.75,76000,123.437497
1991-02-13,18.375,20.125,18.25,20.125,72200,125.781247
1991-02-12,16.375,17.75,15.375,17.625,75500,110.156248
1991-02-11,15.625,16.875,15.375,15.75,54900,98.437498
1991-02-08,13.50,14.125,13.25,14.125,22300,88.281248
1991-02-07,13.25,13.875,13.25,13.25,11200,82.812498
1991-02-06,12.875,13.50,12.625,13.50,6400,84.374998
1991-02-05,12.875,13.00,12.50,13.00,5200,81.249998
1991-02-04,13.375,13.375,12.875,13.25,5300,82.812498
1991-02-01,13.875,13.875,13.00,13.25,7200,82.812498
1991-01-31,11.875,13.875,11.875,13.625,19200,85.156248
1991-01-30,13.00,13.25,11.50,11.875,19700,74.218748
1991-01-29,13.625,13.625,12.875,13.375,11200,83.593748
1991-01-28,13.375,13.75,13.00,13.625,6500,85.156248
1991-01-25,13.50,13.50,12.875,13.50,11500,84.374998
1991-01-24,14.00,14.125,13.50,13.50,6800,84.374998
1991-01-23,14.00,14.125,13.625,13.75,8900,85.937498
1991-01-22,13.375,14.125,13.375,13.75,19200,85.937498
1991-01-21,13.625,14.00,13.50,13.50,8800,84.374998
1991-01-18,13.125,14.25,13.125,13.875,18400,86.718748
1991-01-17,13.25,13.875,12.875,13.625,24700,85.156248
1991-01-16,12.00,13.00,12.00,12.75,14600,79.687498
1991-01-15,10.50,12.00,10.50,11.75,17400,73.437498
1991-01-14,12.00,12.25,9.75,10.25,25100,64.062499
1991-01-11,13.00,13.125,12.25,12.375,16200,77.343748
1991-01-10,13.375,13.75,12.875,13.25,13800,82.812498
1991-01-09,14.375,14.50,13.375,13.50,29500,84.374998
1991-01-08,13.00,14.75,13.00,14.25,59400,89.062498
1991-01-07,11.50,13.25,11.25,13.125,40000,82.031248
1991-01-04,10.50,11.625,10.50,11.625,18400,72.656248
1991-01-03,11.25,11.50,10.75,10.875,20600,67.968748
1991-01-02,11.25,11.625,11.125,11.25,8200,70.312498
1990-12-31,11.50,11.50,11.00,11.125,9300,69.531248
1990-12-28,11.625,11.75,11.25,11.375,15900,71.093748
1990-12-27,11.375,11.75,11.00,11.625,8800,72.656248
1990-12-26,11.375,11.625,11.25,11.50,4200,71.874998
1990-12-24,11.375,11.375,11.125,11.375,2100,71.093748
1990-12-21,11.125,11.375,11.125,11.375,10700,71.093748
1990-12-20,11.25,11.375,10.875,11.375,21800,71.093748
1990-12-19,10.25,11.625,10.00,11.50,26200,71.874998
1990-12-18,10.00,10.75,10.00,10.50,13100,65.624999
1990-12-17,9.375,9.875,9.25,9.875,14900,61.718749
1990-12-14,10.25,10.50,9.375,9.625,21900,60.156249
1990-12-13,9.25,11.00,9.25,10.375,48300,64.843749
1990-12-12,8.25,9.125,8.125,9.00,19600,56.249999
1990-12-11,7.375,8.25,7.375,7.875,14400,49.218749
1990-12-10,7.625,7.625,7.375,7.625,3000,47.656249
1990-12-07,7.875,7.875,7.375,7.50,1400,46.874999
1990-12-06,7.875,7.875,7.625,7.875,1100,49.218749
1990-12-05,7.875,7.875,7.625,7.875,2500,49.218749
1990-12-04,7.75,8.00,7.75,7.875,1900,49.218749
1990-12-03,7.75,8.00,7.75,7.75,500,48.437499
1990-11-30,8.00,8.00,7.75,8.00,2300,49.999999
1990-11-29,8.00,8.125,7.75,8.00,10000,49.999999
1990-11-28,7.875,8.00,7.75,8.00,700,49.999999
1990-11-27,7.375,8.00,7.375,7.875,14800,49.218749
1990-11-26,7.125,7.50,7.00,7.25,12300,45.312499
1990-11-23,7.375,7.375,7.125,7.25,3300,45.312499
1990-11-21,7.125,7.375,7.125,7.125,10100,44.531249
1990-11-20,7.50,7.50,7.125,7.375,2600,46.093749
1990-11-19,7.625,7.625,7.375,7.375,2800,46.093749
1990-11-16,7.75,7.75,7.50,7.50,8600,46.874999
1990-11-15,7.25,7.75,7.25,7.50,7600,46.874999
1990-11-14,7.375,7.50,7.125,7.25,3800,45.312499
1990-11-13,7.625,7.75,7.50,7.625,2500,47.656249
1990-11-12,7.875,7.875,7.625,7.875,400,49.218749
1990-11-09,7.75,7.875,7.50,7.75,6400,48.437499
1990-11-08,7.625,7.875,7.50,7.75,2300,48.437499
1990-11-07,7.25,7.625,7.25,7.625,4900,47.656249
1990-11-06,8.125,8.125,7.25,7.25,4200,45.312499
1990-11-05,7.875,8.125,7.875,7.875,9200,49.218749
1990-11-02,8.00,8.125,7.75,7.875,15200,49.218749
1990-11-01,7.875,8.00,7.75,8.00,1500,49.999999
1990-10-31,7.625,8.25,7.625,8.125,11500,50.781249
1990-10-30,7.875,7.875,7.125,7.375,10800,46.093749
1990-10-29,7.875,8.00,7.75,7.875,1600,49.218749
1990-10-26,8.00,8.00,7.75,8.00,2800,49.999999
1990-10-25,8.625,8.625,7.75,8.00,5200,49.999999
1990-10-24,8.625,8.625,8.375,8.625,800,53.906249
1990-10-23,8.375,8.625,8.375,8.625,700,53.906249
1990-10-22,8.75,9.00,8.50,8.50,4800,53.124999
1990-10-19,8.75,8.875,8.625,8.625,1300,53.906249
1990-10-18,8.875,9.00,8.50,8.75,3500,54.687499
1990-10-17,7.875,8.75,7.875,8.625,13200,53.906249
1990-10-16,8.00,8.50,8.00,8.00,11200,49.999999
1990-10-15,7.50,8.00,7.25,8.00,5800,49.999999
1990-10-12,7.50,7.75,7.00,7.50,10600,46.874999
1990-10-11,7.875,8.125,7.25,7.375,4000,46.093749
1990-10-10,8.125,8.25,7.875,7.875,2300,49.218749
1990-10-09,8.25,8.25,7.875,7.875,2100,49.218749
