2016/7/1_14:9:22||	$pS170.281339,	$187820.316978,	B2379.838800,	S-5529.874744,	SC1103,	Num0		,	29.550000,	80.536000,	54.056000,	-102.299000,	-269.392000,	374.651000,	209.750000,	203.930000,	-44.479000,	-39.699000,	-484.142000,	489.294000,	-382.153000,	-495.792000,	-144.743000,	348.765000,	24.289000,	1.453000,	-500.000000,	-223.583000,	-47.353000,	50.519000,	-103.841000,	432.567000,	28.482000,	482.574000,	-96.998000,	-433.186000,	23.709000,	115.988000,	126.990000,	-485.574000,	-447.495000,	-487.211000,	-359.511000,	-493.159000,	277.339000,	-495.738000,	439.304000,	-153.803000,	116.613000,	-157.732000,	-87.753000,	28.884000,	160.056000,	-69.479000,	-497.807000,	222.907000,	-442.321000,	-48.986000
2016/7/14_20:3:23||	$pS195.417148,	$203038.416418,	B1677.757252,	S-5441.790900,	SC1039,	Num0,	GUID145453302		,	-32.066000,	-52.322000,	37.610000,	-144.690000,	-381.008000,	-321.660000,	-55.574000,	-355.112000,	315.142000,	-24.294000,	161.046000,	36.838000,	157.170000,	78.320000,	-500.000000,	-20.350000,	-447.008000,	-31.200000,	-317.030000,	453.400000,	-123.964000,	80.440000,	89.892000,	444.282000,	-338.090000,	448.230000,	-310.424000,	217.268000,	-62.670000,	-305.840000,	123.968000,	-134.420000,	182.920000,	-43.812000,	-220.772000,	-247.268000,	-495.500000,	377.420000,	-148.830000,	109.300000,	60.964000,	-102.022000,	-287.186000,	-180.914000,	-397.988000,	-21.286000,	-328.070000,	-435.310000,	-500.000000,	95.416000
2016/7/15_23:17:1||	$pS206.140633,	$205934.492036,	B1654.746408,	S-5170.878400,	SC999,	Num0,	GUID632957250		,	-52.164000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/15_23:24:30||	$pS206.140633,	$205934.492036,	B1654.492632,	S-5170.878400,	SC999,	Num0,	GUID282851130		,	-52.156000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/15_23:33:56||	$pS169.558564,	$490363.368495,	B684.827150,	S-5046.328674,	SC2892,	Num0,	GUID305480931		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_11:7:44||	$pS206.140633,	$205934.492036,	B1654.492632,	S-5170.878400,	SC999,	Num0,	GUID17892576		,	-52.156000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/16_11:22:4||	$pS216.797756,	$205524.272407,	B1857.474832,	S-5235.430560,	SC948,	Num0,	GUID378407648		,	-5.791000,	-320.752000,	80.555000,	-64.992000,	-469.567000,	-188.750000,	7.880000,	148.713000,	94.626000,	123.796000,	79.087000,	221.450000,	37.268000,	130.513000,	-202.164000,	350.906000,	148.759000,	386.556000,	-167.033000,	161.789000,	-470.740000,	-467.124000,	237.190000,	-345.460000,	-56.583000,	384.280000,	-131.171000,	297.841000,	-494.607000,	122.146000,	163.261000,	-483.303000,	400.102000,	17.716000,	-147.154000,	-252.844000,	-498.596000,	-97.477000,	-148.377000,	329.314000,	419.563000,	-291.664000,	-438.602000,	-430.993000,	-459.250000,	-27.262000,	-420.306000,	-152.798000,	-294.547000,	-43.688000
2016/7/16_12:56:13||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_12:57:6||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_12:57:18||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_13:29:40||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
